,CPICH@ROC.a,CPICH@US.a,CPICH@JAP.a,CPICH@GER.a,CPICH@FRA.a,CPICH@UK.a,CPICH@ITA.a,CPICH@SKOR.a,CPICH@SING.a,CPICH@HK.a,CPICH@PRC.a
,禣基计糤瞯 - い地チ瓣 (%),禣基计糤瞯 - 瓣 (%),禣基计糤瞯 - らセ (%),禣基计糤瞯 - 紈瓣 (%),禣基计糤瞯 - 猭瓣 (%),禣基计糤瞯 - 璣瓣 (%),禣基计糤瞯 - 竡 (%),禣基计糤瞯 - 玭龙 (%),禣基计糤瞯 - 穝℡ (%),禣基计糤瞯 - 翠 (%),禣基计糤瞯 - い瓣嘲 (%)
,Anual Changes in Consumer Price Index - R_O_C_ (%),Anual Changes in Consumer Price Index - U_S_A_ (%),Anual Changes in Consumer Price Index - Japan (%),Anual Changes in Consumer Price Index - Germany (%),Anual Changes in Consumer Price Index - France (%),Anual Changes in Consumer Price Index - U_K_ (%),Anual Changes in Consumer Price Index - Italy (%),Anual Changes in Consumer Price Index - Korea (South) (%),Anual Changes in Consumer Price Index - Singapore (%),Anual Changes in Consumer Price Index - H_K_ (%),Anual Changes in Consumer Price Index - P_R_C_ (%)
DATE,%,%,%,%,%,%,%,%,%,%,%
2000,1.25,3.38,-0.68,1.44,1.68,1.18,2.54,2.26,1.36,-3.69,0.35
2001,0.00,2.83,-0.74,1.98,1.63,1.53,2.79,4.07,1.00,-1.66,0.72
2002,-0.20,1.59,-0.92,1.42,1.92,1.52,2.47,2.76,-0.39,-2.98,-0.73
2003,-0.28,2.27,-0.26,1.03,2.10,1.38,2.67,3.51,0.51,-2.67,1.13
2004,1.61,2.68,-0.01,1.67,2.14,1.39,2.21,3.59,1.66,-0.27,3.82
2005,2.31,3.39,-0.28,1.55,1.75,2.09,1.99,2.75,0.43,0.83,1.78
2006,0.60,3.23,0.25,1.58,1.68,2.46,2.09,2.24,0.96,2.00,1.65
2007,1.79,2.85,0.06,2.30,1.49,2.39,1.83,2.53,2.10,2.04,4.82
2008,3.54,3.84,1.38,2.63,2.81,3.52,3.35,4.67,6.63,4.30,5.93
2009,-0.88,-0.36,-1.35,0.31,0.09,1.96,0.77,2.76,0.60,0.58,-0.73
2010,0.97,1.64,-0.73,1.10,1.53,2.49,1.53,2.94,2.82,2.29,3.18
2011,1.42,3.16,-0.27,2.08,2.11,3.86,2.78,4.03,5.25,5.31,5.55
2012,1.93,2.07,-0.04,2.01,1.95,2.57,3.04,2.19,4.58,4.05,2.62
2013,0.80,1.46,0.34,1.50,0.86,2.29,1.22,1.30,2.36,4.34,2.62
2014,1.20,1.62,2.76,0.91,0.51,1.45,0.24,1.27,1.03,4.42,1.92
2015,-0.31,0.12,0.80,0.51,0.04,0.37,0.04,0.71,-0.52,2.99,1.44
2016,1.40,1.26,-0.13,0.49,0.18,1.01,-0.09,0.97,-0.53,2.41,2.00
2017,0.62,2.13,0.48,1.51,1.03,2.56,1.23,1.94,0.58,1.49,1.59
2018,1.36,2.44,0.99,1.73,1.85,2.29,1.14,1.48,0.44,2.41,2.07
2019,0.55,1.81,0.47,1.45,1.11,1.74,0.61,0.38,0.57,2.88,2.90
2020,-0.23,1.23,-0.03,0.14,0.48,0.99,-0.14,0.54,-0.18,0.25,2.42
2021,1.97,4.70,-0.23,3.07,1.64,2.52,1.87,2.50,2.30,1.57,0.98
2022,2.95,8.00,2.50,6.87,5.22,7.92,8.20,5.09,6.12,1.88,1.97
2023,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
